FID,doe_school_code,deewr_id,school_name,level_of_schooling,school_speciality_type,year_ranges,preschool_indicator,school_gender,teaching_staff,non_teaching_staff,total_enrolments,phone,school_email,fax,lga,electorate,federal_electorate,address,suburb,postcode,latitude,longitude,the_geom
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6694,1028,11109,Alma Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,20,7,223,08 8088 2181,alma-p.School@det.nsw.edu.au,08 8087 3691,Broken Hill (C),Barwon,Parkes,Comstock St,Broken Hill ,2880,-31.9822,141.4624,POINT (-31.98221778869629 141.4624481201172)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6693,1030,9761,Alstonville Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,23,3,527,6628 0775,alstonvill-p.School@det.nsw.edu.au,6628 5362,Ballina (A),Ballina,Page,Main St,Alstonville ,2477,-28.8385,153.4382,POINT (-28.838470458984375 153.43817138671875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6692,1040,9126,Anna Bay Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,17,5,312,4982 1187,annabay-p.School@det.nsw.edu.au,4982 1879,Port Stephens (A),Port Stephens,Paterson,191 Gan Gan Rd,Anna Bay ,2316,-32.7764,152.0899,POINT (-32.776371002197266 152.08990478515625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6691,1041,5497,Annandale Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,24,9,377,9516 3711,annandale-p.School@det.nsw.edu.au,9550 4581,Leichhardt (A),Balmain,Grayndler,25 Johnston St,Annandale ,2038,-33.8858,151.1696,POINT (-33.885780334472656 151.1696014404297)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6690,1042,4930,Annandale North Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,18,4,411,9660 3972,annandalen-p.School@det.nsw.edu.au,9692 8323,Leichhardt (A),Balmain,Grayndler,206 Johnston St,Annandale ,2038,-33.8779,151.1718,POINT (-33.877906799316406 151.1718292236328)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-668f,1045,10197,Appin Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,12,6,233,4631 1220,appin-p.School@det.nsw.edu.au,4631 1486,Wollondilly (A),Wollondilly,Hume,97 Appin Road,Appin,2560,-34.1984,150.7877,POINT (-34.19841766357422 150.78765869140625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-668e,1048,17392,Arcadia Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,2,71,9653 1207,arcadia-p.School@det.nsw.edu.au,9653 2697,Hornsby (A),Hornsby,Berowra,140 Arcadia Road,Arcadia,2159,-33.6235,151.051,POINT (-33.62348556518555 151.051025390625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-668d,1051,10519,Ardlethan Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,12,5,87,6978 2046,ardlethan-c.School@det.nsw.edu.au,6978 2202,Coolamon (A),Cootamundra,Riverina,Mithul St,Ardlethan ,2665,-34.3541,146.9006,POINT (-34.35409927368164 146.9005584716797)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-668c,1055,10520,Ariah Park Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,11,6,121,6974 1105,ariahpark-c.School@det.nsw.edu.au,6974 1017,Temora (A),Cootamundra,Riverina,Reid St,Ariah Park ,2665,-34.3469,147.218,POINT (-34.346923828125 147.218017578125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-668b,1057,9372,Armidale City Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,22,6,424,6772 3420,armidalec-p.School@det.nsw.edu.au,6771 2262,Armidale Dumaresq (A),Northern Tablelands,New England,Faulkner St,Armidale ,2350,-30.5195,151.6641,POINT (-30.519500732421875 151.6640625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-668a,1058,9376,Drummond Memorial Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,15,7,135,6772 3736,drummondm-p.School@det.nsw.edu.au,6771 2275,Armidale Dumaresq (A),Northern Tablelands,New England,250 Rusden Street,Armidale,2350,-30.5115,151.6507,POINT (-30.5114688873291 151.6507110595703)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6689,1061,7612,Artarmon Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,48,6,1085,9411 1950,artarmon-p.School@det.nsw.edu.au,9415 1243,Willoughby (C),Lane Cove,North Sydney,McMillan Rd,Artarmon ,2064,-33.8112,151.186,POINT (-33.811248779296875 151.18600463867188)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6688,1064,7773,Ashbury Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,19,5,374,9798 4509,ashbury-p.School@det.nsw.edu.au,9716 8089,Canterbury (C),Summer Hill,Watson,Trevenar St,Ashbury,2193,-33.8988,151.1194,POINT (-33.898834228515625 151.11944580078125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6687,1065,7774,Ashfield Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,18,6,305,9798 4400,ashfield-p.School@det.nsw.edu.au,9716 7250,Ashfield (A),Summer Hill,Grayndler,Liverpool Rd,Ashfield ,2131,-33.8897,151.1282,POINT (-33.88972473144531 151.12820434570312)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6686,1066,9412,Ashford Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,14,9,175.2,6725 4101,ashford-c.School@det.nsw.edu.au,6725 4336,Inverell (A),Northern Tablelands,New England,Albury St,Ashford ,2361,-29.3213,151.0946,POINT (-29.32126235961914 151.09463500976562)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6685,1070,5797,Asquith Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,19,7,353,9477 1258,asquith-p.School@det.nsw.edu.au,9482 2523,Hornsby (A),Hornsby,Bradfield,Dudley St,Asquith,2077,-33.6857,151.1122,POINT (-33.68572998046875 151.1121826171875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6684,1071,9369,Attunga Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,1,25,6769 5554,attunga-p.School@det.nsw.edu.au,6769 5690,Tamworth Regional (A),Tamworth,New England,Railway St,Attunga ,2345,-30.9304,150.8466,POINT (-30.930444717407227 150.84657287597656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6683,1073,7799,Auburn North Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,45,5,658,9748 1036,auburnnth-p.School@det.nsw.edu.au,9748 0109,Auburn (C),Auburn,Blaxland,100 Adderley St,Auburn ,2144,-33.8417,151.0386,POINT (-33.84166717529297 151.0386199951172)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6682,1075,7801,Auburn West Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,46,5,731,9649 6774,auburnwest-p.school@det.nsw.edu.au,9749 1467,Auburn (C),Auburn,Blaxland,Chiswick Rd,Auburn ,2144,-33.8609,151.0198,POINT (-33.860931396484375 151.01976013183594)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6681,1076,9986,Austinmer Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,18,5,353,4267 1311,austinmer-p.School@det.nsw.edu.au,4267 1018,Wollongong (C),Keira,Cunningham,90 Lawrence Hargrave Drive,Austinmer ,2515,-34.3054,150.935,POINT (-34.305397033691406 150.93499755859375)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6680,1077,8545,Austral Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,18,3,308,9606 0312,austral-p.School@det.nsw.edu.au,9606 0080,Liverpool (C),Camden,Werriwa,219 Edmondson Avenue,Austral,2179,-33.9345,150.8126,POINT (-33.934486389160156 150.81263732910156)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-667f,1081,10243,Avoca Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,1,25,4887 7224,avoca-p.School@det.nsw.edu.au,4887 7380,Wingecarribee (A),Goulburn,Whitlam,Sheepwash Rd,Avoca,2577,-34.6127,150.4798,POINT (-34.61269760131836 150.47976684570312)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-667e,1082,16159,Avoca Beach Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,21,6,507,4382 1416,avocabch-p.School@det.nsw.edu.au,4381 1431,Gosford (C),Terrigal,Robertson,The Round Drive,Avoca Beach,2251,-33.4712,151.4307,POINT (-33.471153259277344 151.4307403564453)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-667d,1084,8964,Awaba Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,28,4959 2502,awaba-p.school@det.nsw.edu.au,4950 4905,Lake Macquarie (C),Lake Macquarie,Hunter,Mulbring Street,Awaba,2283,-33.0106,151.5381,POINT (-33.010555267333984 151.53807067871094)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-667c,1085,16197,Colo Vale Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,3,237,4889 4250,colovale-p.School@det.nsw.edu.au,4889 4285,Wingecarribee (A),Wollondilly,Hume,Wattle St,Colo Vale ,2575,-34.4013,150.4762,POINT (-34.40127944946289 150.47618103027344)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-667b,1098,9413,Bald Blair Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,39,6779 1578,baldblair-p.School@det.nsw.edu.au,6779 2060,Guyra (A),Northern Tablelands,New England,Ebor Rd,Guyra ,2365,-30.2299,151.785,POINT (-30.22989273071289 151.78504943847656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-667a,1104,7691,Seaforth Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,24,4,554,9948 1694,seaforth-p.School@det.nsw.edu.au,9907 0858,Manly (A),Manly,Warringah,37 Kempbridge Avenue,Seaforth ,2092,-33.7933,151.2512,POINT (-33.79326248168945 151.25123596191406)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6679,1106,10002,Balgownie Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,17,4,339,4284 4245,balgownie-p.School@det.nsw.edu.au,4284 3462,Wollongong (C),Keira,Cunningham,Balgownie Rd,Balgownie ,2519,-34.387,150.8721,POINT (-34.386985778808594 150.8720703125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6678,1111,11039,Ballimore Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,3,18,6886 5151,ballimore-p.School@det.nsw.edu.au,6886 5167,Dubbo (C),Dubbo,Parkes,Bomen St,Ballimore ,2830,-32.1936,148.8996,POINT (-32.19359588623047 148.89962768554688)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6677,1112,9765,Ballina Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,18,3,242,6686 2205,ballina-p.school@det.nsw.edu.au,6686 0692,Ballina (A),Ballina,Richmond,48 Crane St,Ballina ,2478,-28.8697,153.5637,POINT (-28.86972427368164 153.56370544433594)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6676,1115,6377,Balranald Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,16,8,154,03 5020 2222,balranald-c.school@det.nsw.edu.au,03 5020 2269,Balranald (A),Murray,Farrer,We St,Balranald,2715,-34.6356,143.5648,POINT (-34.63557434082031 143.5647735595703)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6675,1118,9770,Bangalow Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,16,4,281,6687 1434,bangalow-p.School@det.nsw.edu.au,6687 2036,Byron (A),Ballina,Richmond,Byron St,Bangalow ,2479,-28.6855,153.5257,POINT (-28.68553924560547 153.52574157714844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6674,1121,6390,Banksmeadow Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,16,7,246,9316 9608,banksmeado-p.School@det.nsw.edu.au,9316 4513,Botany Bay (C),Maroubra,Kingsford Smith,Trevelyan & Wiggins Sts,Botany ,2019,-33.9537,151.2066,POINT (-33.953739166259766 151.20660400390625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6673,1123,8557,Greenacre Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,49,8,792,9759 1305,greenacre-p.School@det.nsw.edu.au,9740 4035,Bankstown (C),Lakemba,Watson,Waterloo Rd,Greenacre,2190,-33.9112,151.0576,POINT (-33.91115951538086 151.05758666992188)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6672,1124,8574,Bankstown North Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,21,7,369,9709 5506,bankstownn-p.School@det.nsw.edu.au,9790 0945,Bankstown (C),Bankstown,Blaxland,322 Hume Hwy,Bankstown ,2200,-33.9049,151.038,POINT (-33.90488815307617 151.0380401611328)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6671,1129,9515,Banora Point Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,29,5,630,07 5524 1444,banorapt-p.School@det.nsw.edu.au,07 5524 9287,Tweed (A),Tweed,Richmond,Pioneer Pde,Banora Point ,2486,-28.2224,153.5437,POINT (-28.222421646118164 153.543701171875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6670,1130,6402,Baradine Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,11,6,88.6,6843 1805,baradine-c.School@det.nsw.edu.au,6843 1751,Warrumbungle Shire (A),Barwon,Parkes,Narren St,Baradine,2396,-30.9507,149.0702,POINT (-30.950735092163086 149.0701904296875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-666f,1131,10521,Barellan Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,12,6,113.2,6963 9202,barellan-c.School@det.nsw.edu.au,6963 9302,Narrandera (A),Cootamundra,Farrer,Boree St,Barellan ,2665,-34.2878,146.5719,POINT (-34.28779983520508 146.57192993164062)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-666e,1134,10234,Bargo Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,20,6,362,4684 1396,bargo-p.School@det.nsw.edu.au,02 4684 3781,Wollondilly (A),Wollondilly,Hume,Southern Rd,Bargo ,2574,-34.2929,150.5827,POINT (-34.29288864135742 150.58273315429688)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-666d,1135,10672,Barham Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,7,2,135,03 5453 2133,barham-p.School@det.nsw.edu.au,03 5453 2972,Wakool (A),Murray,Farrer,Wakool St,Barham,2732,-35.6269,144.128,POINT (-35.626914978027344 144.1279754638672)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-666c,1136,9751,Barkers Vale Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,59,6689 7202,barkersval-p.School@det.nsw.edu.au,6689 7469,Kyogle (A),Lismore,Page,4501 Kyogle Rd,Wadeville ,2474,-28.549,153.1493,POINT (-28.549020767211914 153.14927673339844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-666b,1137,10527,Barmedman Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,21,6976 2128,barmedman-p.School@det.nsw.edu.au,6976 2006,Bland (A),Cootamundra,Riverina,Robertson St,Barmedman ,2668,-34.1483,147.3851,POINT (-34.148277282714844 147.38507080078125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-666a,1138,9127,Barnsley Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,3,264,4953 2976,barnsley-p.School@det.nsw.edu.au,4953 3094,Lake Macquarie (C),Cessnock,Hunter,Cliffbrook St,Barnsley ,2278,-32.9331,151.5946,POINT (-32.9330940246582 151.5945587158203)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6669,1139,10460,Barooga Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,8,3,160,03 5873 4242,barooga-p.School@det.nsw.edu.au,03 5873 4700,Berrigan (A),Murray,Farrer,Hughes St,Barooga ,3644,-35.913,145.696,POINT (-35.9129638671875 145.69598388671875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6668,1140,9371,Barraba Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,16,11,179.2,6782 1104,barraba-c.School@det.nsw.edu.au,6782 1231,Tamworth Regional (A),Tamworth,New England,Gotha St,Barraba ,2347,-30.3824,150.5995,POINT (-30.382389068603516 150.59947204589844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6667,1143,9523,Barrington Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,4,71,6558 4258,barrington-p.School@det.nsw.edu.au,6558 4216,Gloucester (A),Upper Hunter,Lyne,1 Kenmore St,Barrington ,2422,-31.9712,151.9111,POINT (-31.971158981323242 151.9110565185547)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6666,1146,9683,Baryulgil Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,3,4,6647 2124,baryulgil-p.School@det.nsw.edu.au,6647 2151,Clarence Valley (A),Clarence,Page,7135 Clarence Way,Baryulgil ,2460,-29.2235,152.6056,POINT (-29.223499298095703 152.60562133789062)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6665,1148,8571,Bass Hill Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,27,5,399,9644 3431,basshill-p.School@det.nsw.edu.au,9644 5271,Bankstown (C),Bankstown,Blaxland,611 Hume Hwy,Bass Hill ,2197,-33.9059,151.0058,POINT (-33.90590286254883 151.0057830810547)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6664,1149,10056,Batemans Bay Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,31,11,567,4472 4059,batemansba-p.School@det.nsw.edu.au,4472 8457,Eurobodalla (A),Bega,Gilmore,Mundarra Way,Surfside,2536,-35.7001,150.1884,POINT (-35.700050354003906 150.18836975097656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6663,1150,10975,Bathurst Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,31,9,515,6331 3923,bathurst-p.School@det.nsw.edu.au,6332 2305,Bathurst Regional (A),Bathurst,Calare,George St,Bathurst ,2795,-33.4209,149.5706,POINT (-33.42094039916992 149.57061767578125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6662,1152,6415,Batlow Technology School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,12,7,134,6949 1208,batlow-c.School@det.nsw.edu.au,6949 1666,Tumut Shire (A),Wagga Wagga,Eden-Monaro,Pioneer St,Batlow ,2730,-35.523,148.1465,POINT (-35.523006439208984 148.14654541015625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6661,1160,10522,Beckom Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,13,6978 2314,beckom-p.School@det.nsw.edu.au,6978 2342,Coolamon (A),Cootamundra,Riverina,Welman St,Beckom ,2665,-34.3272,146.9629,POINT (-34.32720947265625 146.96292114257812)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6660,1164,11098,Bedgerebong Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,3,57,6857 1185,bedgerebon-p.School@det.nsw.edu.au,6857 1118,Forbes (A),Orange,Riverina,North Condobolin Rd,Bedgerebong ,2871,-33.3614,147.6793,POINT (-33.36135482788086 147.6793212890625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-665f,1165,9643,Beechwood Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,6,3,118,6585 6136,beechwood-p.School@det.nsw.edu.au,6585 6000,Port Macquarie-Hastings (A),Oxley,Lyne,614 Beechwood Road,Wauchope ,2446,-31.4355,152.6809,POINT (-31.435535430908203 152.68093872070312)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-665e,1166,7758,Beecroft Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,34,6,802,9484 8844,beecroft-p.School@det.nsw.edu.au,9484 8200,Hornsby (A),Epping,Berowra,98 Beecroft Rd,Beecroft ,2119,-33.7521,151.0646,POINT (-33.7520866394043 151.0646209716797)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-665d,1167,10539,Beelbangera Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,8,3,169,6963 5368,beelbanger-p.School@det.nsw.edu.au,6963 5506,Griffith (C),Murray,Farrer,Rankins Springs Rd,Beelbangera ,2680,-34.2528,146.1011,POINT (-34.25283432006836 146.10107421875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-665c,1168,10183,Bega Valley Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,21,6,337,6492 1280,bega-p.School@det.nsw.edu.au,6492 3965,Bega Valley (A),Bega,Eden-Monaro,27 Auckland St,Bega ,2550,-36.6705,149.8391,POINT (-36.6705436706543 149.83909606933594)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-665b,1175,9496,Bellata Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,23,6793 7514,bellata-p.School@det.nsw.edu.au,6793 7462,Narrabri (A),Barwon,Parkes,Gurley St,Bellata ,2397,-29.9187,149.7962,POINT (-29.918659210205078 149.7962188720703)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-665a,1177,9208,Bellbird Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,6,258,4990 2331,bellbird-p.school@det.nsw.edu.au,4991 1973,Cessnock (C),Cessnock,Hunter,Doyle St,Bellbird ,2325,-32.8594,151.3167,POINT (-32.85942077636719 151.31671142578125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6659,1178,9608,Bellbrook Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,25,6567 2049,bellbrook-p.school@det.nsw.edu.au,6567 2113,Kempsey (A),Oxley,Cowper,Main St,Bellbrook,2440,-30.8191,152.5087,POINT (-30.819093704223633 152.50869750976562)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6658,1179,5338,Bellevue Hill Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,31,4,605,9389 3928,bellevuehi-p.School@det.nsw.edu.au,9369 4651,Woollahra (A),Vaucluse,Wentworth,Victoria Rd,Bellevue Hill ,2023,-33.887,151.2598,POINT (-33.886985778808594 151.25978088378906)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6657,1181,9676,Bellingen Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,17,6,399,6655 1147,bellingen-p.School@det.nsw.edu.au,6655 2615,Bellingen (A),Oxley,Cowper,William St,Bellingen ,2454,-30.4535,152.8919,POINT (-30.453489303588867 152.8918914794922)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6656,1182,9335,Belltrees Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,15,6546 1148,belltrees-p.School@det.nsw.edu.au,6546 1110,Upper Hunter Shire (A),Upper Hunter,New England,Moonan Flat Rd,Belltrees ,2337,-31.9888,151.1295,POINT (-31.988752365112305 151.12948608398438)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6655,1183,17401,Belmont Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,2,265,4945 4858,belmont-p.school@det.nsw.edu.au,4947 7823,Lake Macquarie (C),Swansea,Shortland,Livingstone St,Belmont ,2280,-33.0301,151.6622,POINT (-33.03013229370117 151.66220092773438)
